ID,CAT,SCAT,TTL,DESC,NT,PL,CS,EW,SS,DS,TC,PM,EP,EO
19,Station known risk,Outage restrictions,Low,This known risk factor choice accounts for availability to work on deenergised asset and connection activities. HV connection work to live system/grid usually needs planned outage,Planned outage is easily available and operationally it cost less that the allowance made for in the building block estimates,0.0,-0.025,-0.025,0.0,0.0,-0.0125,-0.0012500000000000002,0.0,0.0
20,Station known risk,Outage restrictions,BAU,This known risk factor choice accounts for availability to work on deenergised asset and connection activities. HV connection work to live system/grid usually needs planned outage,Planned outage needs advance work and operational coordination. The already estimated building block cost incorporate this BAU scenario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Station known risk,Outage restrictions,High,This known risk factor choice accounts for availability to work on deenergised asset and connection activities. HV connection work to live system/grid usually needs planned outage,Planned outage is not available or difficult/long to coordinate. Operationally it cost more that the allowance made for in the building block estimates,0.0,0.05,0.05,0.0,0.0,0.025,0.0025000000000000005,0.0,0.0
22,Station known risk,Weather delays,Low,This known risk factor continues to exist during delivery stage and the choice impacts the productivity/schedule. Outdoor work activities are exposed to elements and are restricted by safety compliances,"In this choice the weather condition is expected to be favourable allowing quicker/productive work and hence the lowers cost estimate for outdoor works. For e.g. work activity are mostly indoor away from the elements or performed in favourable season of the year or located in milder climatic regions. However, for a multi-year scope of work such gain is offset by annual seasonal variance",0.0,-0.025,-0.025,0.0,0.0,-0.0125,-0.0012500000000000002,0.0,0.0
23,Station known risk,Weather delays,BAU,This known risk factor continues to exist during delivery stage and the choice impacts the productivity/schedule. Outdoor work activities are exposed to elements and are restricted by safety compliances,In this choice the usual weather conditions is expected and the building block cost estimate already incorporates this BAU scenario. No adjustment is made. For e.g. multi-year scope of work is exposed to seasonal variance and therefore will experience the usual condition and delays in a given year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Station known risk,Weather delays,High,This known risk factor continues to exist during delivery stage and the choice impacts the productivity/schedule. Outdoor work activities are exposed to elements and are restricted by safety compliances,In this choice the weather condition is expected to be unfavourable resulting in slower/unproductive work and hence the higher cost estimate for outdoor works. For e.g. work activity are mostly outdoor and performed in unfavourable season of the year or located in extreme climatic regions,0.0,0.05,0.05,0.0,0.0,0.025,0.0025000000000000005,0.0,0.0
25,Station known risk,Cultural heritage,Low,This known risk factor choice assigns appropriate cost depending on the nature of property and easement requirement,This choice does not adjust the already made building block cost estimates to mitigate cultural heritage issues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Station known risk,Cultural heritage,BAU,This known risk factor choice assigns appropriate cost depending on the nature of property and easement requirement,This choice slightly impacts the already made building block cost estimates to mitigate cultural heritage issues which is BAU project experience,0.002,0.01,0.01,0.0,0.0,0.0,0.0005,0.0,0.0
27,Station known risk,Cultural heritage,High,This known risk factor choice assigns appropriate cost depending on the nature of property and easement requirement,This choice impacts the already made building block cost estimates to mitigate cultural heritage issues,0.004,0.02,0.02,0.0,0.0,0.0,0.001,0.0,0.0
28,Station unknown risk,Scope and technology risks,Class 5b,This unknown risk factor should be chosen if compiling early stage (Class 5b) cost estimate for project network elements using concept level scoping with no site-specific review or TNSP input. We expect this to be the most common usage of the TCD. This factor attempts to compensate the accuracy offset (underestimation) observed in the early stage cost estimate of recent NEM projects due to scope creep in the project definition as it matures to advance stage.,"Examples of scope creep in a station project as it matures are as follow. These factors are unknown at early stage but experience suggest they often do occur in major/complex projects.
•	Road improvements / access tracks not considered in early stages
•	Delivery scope and conditions not fully understood at early definition stage
•	Changes in legislation and standards",0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.24
29,Station unknown risk,Scope and technology risks,Class 5a,This unknown risk factor should be chosen if compiling early stage (Class 5a) cost estimate for project network elements using screening level scoping including high level site-specific review and TNSP input. This factor attempts to compensate the accuracy offset (underestimation) observed in the early stage cost estimate of recent NEM projects due to scope creep in the project definition as it matures to advance stage.,"Examples of scope creep in a station project as it matures are as follow. These factors are unknown at early stage but experience suggest they often do occur in major/complex projects.
•	Road improvements / access tracks not considered in early stages
•	Delivery scope and conditions not fully understood at early definition stage
•	Changes in legislation and standards",0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12
30,Station unknown risk,Scope and technology risks,Class 4 ,Do not choose this unknown risk factor if only compiling early stage (Class 5) cost estimate for network elements using the provided building block estimates in this TCD and with limited attribute and risk information. This unknown risk factor is to be used only when the user has an improved knowledge of scope of work and site specific attribute and risk profile resulting in bespoke and confident scope of work. It is expected that such knowledge will result in more varieties and quantities of assets than estimating with Class 5 knowledge (i.e. the magnitude of known cost is more at this stage). For e.g. the station now includes bespoke configuration of switchbay with additional/more surge arrestors than allowed for in the standard building block in the TCD. This factor attempts to compensate the accuracy offset (underestimation) observed in the Class 4 cost estimate of recent NEM projects due to scope creep in the project definition as it matures to advance stage.,"Examples of scope creep in a station project as it matures are as follow. These factors are unknown at early stage but experience suggest they often do occur in major/complex projects.
•	Road improvements / access tracks not considered in early stages
•	Delivery scope and conditions not fully understood at early definition stage
•	Changes in legislation and standards",0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.06
31,Station unknown risk,Scope and technology risks,Class 3,"Do not choose this unknown risk factor if only compiling early stage (Class 5) cost estimate for network elements using the provided building block estimates in this TCD and with limited attribute and risk information. This unknown risk factor is to be used only when the user has an advance knowledge of scope of work and site specific attribute and risk profile resulting in bespoke and definitive scope of work. It is expected that such knowledge will result in even more varieties and quantities of assets than estimating with Class 4 knowledge (i.e. the magnitude of known cost is even more at this stage). For e.g. the station now includes bigger car park area than allowed for in the standard building block in the TCD. At Class 3, this factor is negligible and it is expected that such scope creep does not remain unknown. A very small correction factor is applied as the project has now matured and the scope is now deemed advance.","Examples of scope creep in a station project as it matures are as follow. These factors are unknown at early stage but experience suggest they often do occur in major/complex projects.
•	Road improvements / access tracks not considered in early stages
•	Delivery scope and conditions not fully understood at early definition stage
•	Changes in legislation and standards",0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01
32,Station unknown risk,Scope and technology risks,Class 1/2,"Class 1/2 estimate represents 'contractual' cost and is beyond the scope of the TCD. At this stage, it is expected that all the unknown risk factors have materialised, mitigated or avoided and that there are no surprises left in the project. No factor is applied to the compiled cost estimate. ","Examples of scope creep in a station project as it matures are as follow. These factors are unknown at early stage but experience suggest they often do occur in major/complex projects.
•	Road improvements / access tracks not considered in early stages
•	Delivery scope and conditions not fully understood at early definition stage
•	Changes in legislation and standards",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Station unknown risk,Productivity and labour cost risks,Class 5b,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of labour costs in building block costs being  5% to 10% too low. ,"Greater risk allowance is considered appropropriate for productivity and labour costs in the substation building blocks selected for the Project (this should be selected where there is no recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking
• The building block costs were based on limited available data comparisons
• the forecast indexation is considered to be lower than expected",0.0,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0
34,Station unknown risk,Productivity and labour cost risks,Class 5a,The building block cost data is revised through benchmarking using past project estimates and completed project costs where available.  Building block costs are expected to be  more accurate where recent project data is more available/reliable.  This unknown risk factor should be chosen based on the uncertaintly of labour costs in building block costs being  3% to 5% too low. ,"Greater risk allowance is considered appropropriate for productivity and labour costs in the substation building block selected for the Project (this should be selected where there is some recent projects in Australia related to the relevant project building block)
• The relevent project building block costs have not been subject to recent benchmarking
• The building block costs were based on limited available data comparisons
• the forecast indexation is considered to be lower than expected",0.0,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0
